status,canonical_name,display_name,raw_names,months,visits,naver_title,category,address,road_address,lat,lng,candidate_count,region_ok,category_ok,query,note
pending,카페시실리,까페시실리,까페시실리 | 까페 시실리,2026-07,2,카페시실리,"카페,디저트>카페",충청북도 청주시 흥덕구 강내면 탑연리 295-2,충청북도 청주시 흥덕구 강내면 가로수로 480,36.622409,127.3534501,1,yes,yes,청주 카페시실리,region=청주
pending,투썸플레이스삼성도심공항점,투썸플레이스 삼성도심공항점,투썸플레이스 삼성도심공항점,2026-07,2,투썸플레이스 삼성도심공항점,"카페,디저트>카페",서울특별시 강남구 삼성동 154-8 1층,서울특별시 강남구 테헤란로87길 35 1층,37.5100319,127.0579548,1,no,yes,투썸플레이스삼성도심공항점,outside 청주/세종/공주/대전
pending,파리바게뜨청주강내점,파리바게뜨 청주강내점,파리바게뜨 청주강내점,2026-07,2,파리바게뜨 청주강내점,"카페,디저트>베이커리",충청북도 청주시 흥덕구 강내면 탑연리 171-3 1층,충청북도 청주시 흥덕구 강내면 가로수로 534 1층,36.6235472,127.3594046,1,yes,yes,청주 파리바게뜨청주강내점,region=청주
pending,한상모아도시락청주본점,한상모아 도시락 청주본점,한상모아 도시락 청주본점,2026-07,2,한상모아 도시락 청주본점,"음식점>도시락,컵밥",충청북도 청주시 서원구 사창동 148-3,충청북도 청주시 서원구 사직대로 107,36.6350807,127.4592912,1,yes,yes,청주 한상모아도시락청주본점,region=청주
pending,갈비만세종점,갈비만 세종점,갈비만 세종점,2026-07,1,갈비만 세종점,"한식>육류,고기요리",세종특별자치시 고운동 2094 세종중앙타워 2층,세종특별자치시 세종로 1219 세종중앙타워 2층,36.5116349,127.2410375,1,yes,yes,세종 갈비만세종점,region=세종
pending,궁현가,궁현가,궁현가,2026-07,1,궁현가,음식점>한식,충청북도 청주시 흥덕구 강내면 궁현리 213-21 궁현가,충청북도 청주시 흥덕구 강내면 궁현연꽃2길 10-19 궁현가,36.5790422,127.3668852,1,yes,yes,청주 궁현가,region=청주
pending,기운쎈수산센타,기운쎈수산센타,기운쎈수산센타,2026-07,1,,,,,,,0,,,기운쎈수산센타,no geocoding hit
pending,기운쎈장어,기운쎈장어,기운쎈장어,2026-07,1,기운쎈장어,"한식>장어,먹장어요리",충청북도 청주시 흥덕구 강내면 월탄리 135-9 1층,충청북도 청주시 흥덕구 강내면 태성탑연로 391-50 1층,36.617456,127.3539821,1,yes,yes,청주 기운쎈장어,region=청주
pending,남원추어탕,남원추어탕,남원추어탕,2026-07,1,남원추어탕,음식점>한식,충청북도 청주시 서원구 분평동 335-3,충청북도 청주시 서원구 1순환로 1012,36.6080866,127.4797088,5,yes,yes,청주 남원추어탕,"region=청주; other candidates: 남원추어탕, 추오정남원추어탕 강서점, 춘향고을남원추어탕"
pending,네모(NEMO),네모(NEMO),네모(NEMO),2026-07,1,커피네모,"음식점>카페,디저트",충청북도 청주시 흥덕구 오송읍 봉산리 1045 커피네모,충청북도 청주시 흥덕구 오송읍 봉산2길 31-2 커피네모,36.6209147,127.318704,3,yes,yes,청주 네모(NEMO),"region=청주; other candidates: 네모, 네모 샌드위치&amp;샐러드"
pending,노워리스,노워리스,노워리스,2026-07,1,노워리스,"카페,디저트>카페",충청북도 청주시 흥덕구 오송읍 연제리 798 1층,충청북도 청주시 흥덕구 오송읍 연제길 13 1층,36.6252838,127.3252294,1,yes,yes,청주 노워리스,region=청주
pending,단디,단디,단디,2026-07,1,단디헤어,미용>미용실,충청북도 청주시 흥덕구 오송읍 봉산리 1380 1층,충청북도 청주시 흥덕구 오송읍 봉산1길 29-9 1층,36.6207577,127.3220327,1,yes,no,청주 단디,region=청주; category is not food/beverage
pending,달보드레,주식회사 달보드레,주식회사 달보드레,2026-07,1,달보드레,숙박>펜션,충청북도 청주시 상당구 미원면 종암리 509-7,충청북도 청주시 상당구 미원면 종암길 30-23,36.6910529,127.6338603,5,yes,no,청주 달보드레,"region=청주; category is not food/beverage; other candidates: 달보드레&amp;잡솨보리, 달보드레, 달보드레 스냅"
pending,대도영지한우,대도영지한우,대도영지한우,2026-07,1,대도영지한우,한식>소고기구이,충청북도 청주시 서원구 사창동 249-20 1층,충청북도 청주시 서원구 천석로14번길 7 1층,36.636732,127.465887,5,yes,yes,청주 대도영지한우,"region=청주; other candidates: 대도영지한우, 대도영지한우3호점, 대도영지한우입구"
pending,더테라스,더테라스,더테라스,2026-07,1,트리제이 더 테라스 &amp; 홈파티,음식점>뷔페,충청북도 청주시 서원구 산남동 1085 2층,충청북도 청주시 서원구 원흥로 17 2층,36.6076058,127.4710383,5,yes,yes,청주 더테라스,"region=청주; other candidates: 청주스타레이크더테라스, 대원칸타빌더테라스1단지아파트, 대원칸타빌더테라스2단지아파트"
pending,디저트39한국교원대점,디저트39 한국교원대점,디저트39 한국교원대점,2026-07,1,디저트39 한국교원대점,"카페,디저트>카페",충청북도 청주시 흥덕구 강내면 탑연리 339 디저트39 한국교원대점,충청북도 청주시 흥덕구 강내면 태성탑연로 386 디저트39 한국교원대점,36.6173791,127.3559085,1,yes,yes,청주 디저트39한국교원대점,region=청주
pending,떡마마청주오송점,떡마마 청주오송점,떡마마 청주오송점,2026-07,1,떡마마 청주오송점,"전통식품>떡,한과",충청북도 청주시 흥덕구 오송읍 연제리 718 1층 101호,충청북도 청주시 흥덕구 오송읍 오송생명5로 184-4 1층 101호,36.6305627,127.3297356,1,yes,yes,청주 떡마마청주오송점,region=청주
pending,뚜레음성점,뚜레 음성점,뚜레 음성점,2026-07,1,뚜레한우 음성점,한식>소고기구이,충청북도 음성군 대소면 소석리 8-1,충청북도 음성군 대소면 대금로 666,36.970632,127.5105281,1,no,yes,뚜레음성점,outside 청주/세종/공주/대전
pending,뚜레쥬르강릉내곡점,뚜레쥬르 강릉내곡점,뚜레쥬르 강릉내곡점,2026-07,1,뚜레쥬르 강릉내곡점,"카페,디저트>베이커리",강원특별자치도 강릉시 내곡동 459-11,강원특별자치도 강릉시 범일로 653,37.7448013,128.8838375,1,no,yes,뚜레쥬르강릉내곡점,outside 청주/세종/공주/대전
pending,로네펠트티하우스,로네펠트 티하우스,로네펠트 티하우스,2026-07,1,로네펠트티하우스 광화문점,"음식점>카페,디저트",서울특별시 종로구 신문로1가 115 콘코디언빌딩 1층,서울특별시 종로구 새문안로 76 콘코디언빌딩 1층,37.5698394,126.9733607,5,no,yes,로네펠트티하우스,"outside 청주/세종/공주/대전; other candidates: 로네펠트티하우스 동대문점, 로네펠트티하우스 선릉점, 로네펠트티하우스 코엑스점"
pending,르사이공(코엑스점),르사이공(코엑스점),르사이공(코엑스점),2026-07,1,,,,,,,0,,,르사이공(코엑스점),no geocoding hit
pending,마라탕양꼬치오송점,마라탕양꼬치 오송점,마라탕양꼬치 오송점,2026-07,1,태양부양꼬치 오송점,중식>양꼬치,충청북도 청주시 흥덕구 오송읍 만수리 852 1층 101호,충청북도 청주시 흥덕구 오송읍 오송생명5로 267-8 1층 101호,36.6232294,127.3257094,1,yes,yes,청주 마라탕양꼬치오송점,region=청주
pending,말랑떡공방,말랑떡공방,말랑떡공방,2026-07,1,말랑떡공방,"전통식품>떡,한과",충청북도 청주시 상당구 금천동 131-58 1층 말랑떡공방,충청북도 청주시 상당구 수영로 210-1 1층 말랑떡공방,36.623442,127.5038663,1,yes,yes,청주 말랑떡공방,region=청주
pending,모시울,모시울,모시울,2026-07,1,모시울,지명>행정지명,충청북도 청주시 흥덕구 오송읍 상봉리,,36.6398071,127.2859375,1,yes,no,청주 모시울,region=청주; category is not food/beverage
pending,본도시락,본도시락,본도시락,2026-07,1,본도시락 청주복대점,"음식점>도시락,컵밥",충청북도 청주시 흥덕구 송정동 70-73 102호,충청북도 청주시 흥덕구 직지대로436번길 76 102호,36.6405726,127.4402896,5,yes,yes,청주 본도시락,"region=청주; other candidates: 본도시락 오송점, 본도시락 청주동남점, 본도시락 청주대점"
pending,본도시락오송점,본도시락 오송점,본도시락 오송점,2026-07,1,본도시락 오송점,"음식점>도시락,컵밥",충청북도 청주시 흥덕구 오송읍 연제리 715 113호,충청북도 청주시 흥덕구 오송읍 오송생명로 186 113호,36.6311892,127.3296024,1,yes,yes,청주 본도시락오송점,region=청주
